Trading 212 Ticker,Actural Ticker,Instrament Name,Currency,Country,Industry,Sector
AALl_EQ,AAL,Anglo American,GBX,US,Base Metals & Plantinum Group Metals,Metals & Mining
AEM_US_EQ,AEM,iShares MSCI EM IMI Screened,GBP,CA,Emerging Markets,ETF
AGESl_EQ,AGES,iShares Ageing Population,GBX,US,Aging Population,ETF
AMp_EQ,AM,Dassault Aviation,EUR,US,Defence,Defence
ANGPY_US_EQ,ANGPY,Valterra Platinum,USD,ZA,Platinum Group Metals,Metals & Mining
ATRL_CA_EQ,ATRL,AtkinsRealis Group,CAD,CA,Nuclear,Engineering & Construction
AU_US_EQ,AU,AngloGold Ashanti,USD,GB,Gold,Metals & Mining
BAl_EQ,BA,BAE Systems,GBX,US,Defence,Defence
BABl_EQ,BAB,Babcock International,GBX,GB,Defence,Defence
BEPC_US_EQ,BEPC,Brookfield Renewable,USD,US,Domestic Energy,Utilities
BLTl_EQ,BHP,BHP Group,GBX,AU,Base Metals,Metals & Mining
BKCNl_EQ,BKCN,Wisdomtree Blockchain,GBX,US,Crypto & Blockchain,Technology
BPl_EQ,BP,BP,GBX,GB,Oil & Gas,Energy
BRWMl_EQ,BRWM,BlackRock World Mining Trust,GBX,GB,Metals & Mining,Metals & Mining
BWXT_US_EQ,BWXT,BWX Technologies,USD,US,Defence,Aerospace & Defense
CCJ_US_EQ,CCJ,Cameco,USD,CA,Nuclear,Energy
CEG_US_EQ,CEG,Constellation Energy,USD,US,Domestic Energy,Utilities
CEMXl_EQ,CEMX,iShares MSCI EM Consumer Growth,GBP,US,Emerging Markets,ETF
CHGl_EQ,CHG,Chemring,GBX,GB,Defence,Defence
CHRGl_EQ,CHRG,WisdomTree Battery Solutions,GBX,US,Battery,Technology
CHTEl_EQ,CHTE,UBS Solactive China Technology,GBX,CH,Telecommunications,Technology
CSCAl_EQ,CSCA,iShares MSCI Canada,GBX,US,Canada,ETF
CSUKs_EQ,CSUK,iShares MSCI UK,GBP,US,UK,ETF
CVX_US_EQ,CVX,Chevron Corp,USD,US,Oil & Gas,Energy
CYSEl_EQ,CYSE,WisdomTree Cybersecurity,GBX,US,Cybersecurity,Technology
D7Nd_EQ,D,Dominion Energy,USD,US,Domestic Energy,Utilities
D_US_EQ,D,Dominion Energy,USD,US,Domestic Energy,Utilities
DAGBl_EQ,DAGB,VanEck Crypto and Blockchain Innovators,GBP,US,Crypto & Blockchain,Technology
DGRGl_EQ,DGRG,WisdomTree US Quality Dividend Growth,GBX,US,US,ETF
DHSPl_EQ,DHSP,WisdomTree US Equity Income,GBX,US,US,ETF
DTE_US_EQ,DTE,DTE Energy,USD,US,Domestic Energy,Utilities
DUK_US_EQ,DUK,Duke Energy,USD,US,Domestic Energy,Utilities
DXJGl_EQ,DXJG,WisdomTree Japan Equity,GBX,JP,Japan,ETF
E_US_EQ,E,Eni,USD,IT,Oil & Gas,Energy
ENRd_EQ,ENR,Siemens Energy,EUR,US,Renewable Energy,Consumer products
EQNR_US_EQ,EQNR,Equinor,USD,NO,Oil & Gas,Energy
ESp_EQ,ES,Esso SA Francaise,EUR,US,Oil & Gas,Utilities
ETR_US_EQ,ETR,Entergy,USD,US,Domestic Energy,Utilities
EUXSl_EQ,EUXS,iShares MSCI Europe ex-UK GBP Hedged,GBX,US,Europe,ETF
FINMY_US_EQ,FINMY,Leonardo,USD,IT,Defence,Defence
FJZd_EQ,FJZ,Zijin Mining Group,EUR,CN,Copper & Gold,Metals & Mining
FOGBl_EQ,FOGB,Rize Sustainable Future of Food,GBX,US,Agriculture,Agriculture
FSUGY_US_EQ,FSUGY,Fortescue,USD,AU,Base Metals,Metals & Mining
FXACa_EQ,FXAC,iShares China Large Cap,EUR,US,China,ETF
GEV_US_EQ,GEV,GE Vernova,USD,US,Renewable Energy,Energy
GGRGl_EQ,GGRG,WisdomTree Global Quality Dividend Growth,GBX,US,Broad,ETF
GILSl_EQ,GILS,Amundi UK Government Bond,GBX,CH,UK,ETF
GLDWl_EQ,GLDW,WisdomTree Core Physical Gold,GBX,US,Gold,Metals & Mining
GLENl_EQ,GLEN,Glencore,GBX,CH,Base Metals,Metals & Mining
GLUXp_EQ,GLUX,Amundi S&P Global Luxury,EUR,CH,Broad,ETF
HAGd_EQ,HAG,Hensoldt,EUR,DE,Defence,Defence
HEDGl_EQ,HEDG,WisdomTree Europe Equity,GBX,US,Europe,ETF
HOp_EQ,HO,iShares GBP UltraShort Bond ESG SRI,GBP,US,UK,ETF
HTHIY_US_EQ,HTHIY,Hitachi,USD,JP,Nuclear,Industrial Conglomerates
IDRe_EQ,IDR,Indra Sistemas,EUR,ES,Defence,Defence
ILKAY_US_EQ,ILKAY,Iluka Resources,USD,AU,Rare Earth Metals,Metals & Mining
INTLl_EQ,INTL,WisdomTree Artificial Intelligence,GBX,US,AI,Technology
ISO_CA_EQ,ISO,IsoEnergy,USD,CA,Nuclear,Metals & Mining
ISP6l_EQ,ISP,iShares S&P Small Cap 600,GBX,US,US,ETF
JIXd_EQ,JIX,Jiangxi Copper,EUR,CN,Copper,Metals & Mining
KGC_US_EQ,KGC,Kinross Gold,USD,CA,Gold,Metals & Mining
KLWD1l_EQ,KLWD,WisdomTree Cloud Computing,GBX,US,Cloud,Technology
KOZd_EQ,KOZ,Kongsberg Gruppen,EUR,NO,Defence,Defence
LEU_US_EQ,LEU,Centrus Energy,USD,US,Nuclear,Energy
LUG_CA_EQ,LUG,Lundin Gold,CAD,CA,Gold,Metals & Mining
LYSDY_US_EQ,LYSDY,Lynas Rare Earths,USD,AU,Rare Earth Metals,Metals & Mining
MCTSl_EQ,MCTS,Invesco MSCI China Technology All Shares Stock Connect,GBX,US,Technology,Technology
MKAl_EQ,MKA,Mkango Resources,GBX,CA,Rare Earth Metals,Metals & Mining
FVAC_US_EQ,MPC,MP Materials,USD,US,Rare Earth Metals,Energy
MPC_US_EQ,MPC,Marathon Petroleum,USD,US,Oil & Gas,Energy
MTXd_EQ,MTX,MTU Aero Engines,EUR,US,Defence,Defence
NATOl_EQ,NATO,Future of Defence UCITS ETF,USD,GB,Defence,Defence
GXII_US_EQ,NB,NioCorp Developments,USD,US,Rare Earth Metals,Metals & Mining
NCLPl_EQ,NCLP,WisdomTree Uranium and Nuclear Energy,GBX,US,Nuclear,Energy
NDIAl_EQ,NDIA,iShares MSCI India,USD,IN,Nuclear,ETF
NEE_US_EQ,NEE,NextEra Energy,USD,US,Renewable Energy,Energy
NEM_US_EQ,NEM,Newmont,USD,US,Gold & Copper,Metals & Mining
NNE_US_EQ,NNE,NANO Nuclear Energy,USD,US,Nuclear,Energy
NRG_US_EQ,NRG,NRG Energy,USD,US,Domestic Energy,Utilities
NTR_US_EQ,NTR,Centrus Energy,USD,CA,Nuclear,Chemicals
NUCGl_EQ,NUCG,VanEck Uranium and Nuclear Technologies,GBP,US,Nuclear,Energy
NXE_US_EQ,NXE,NexGen Energy,USD,CA,Nuclear,Energy
ALCC1_US_EQ,OKLO,Oklo,USD,US,Nuclear,Utilities
OMEX_US_EQ,OMEX,Odyssey Marine Exploration,USD,US,Deep Sea Mining,Metals & Mining
PBR_US_EQ,PBR,Petroleo Brasileiro,USD,BR,Oil & Gas,Energy
PCG_US_EQ,PCG,PG&E,USD,US,Domestic Energy,Utilities
PSX_US_EQ,PSX,Phillips 66,USD,US,Oil & Gas,Energy
QGRPl_EQ,QGRP,WisdomTree US Quality Growth,GBX,US,US,ETF
QQl_EQ,QQ,QinetiQ,GBX,GB,Defence,Defence
RHMd_EQ,RHM,Rheinmetall,EUR,DE,Defence,Defence
RIG_US_EQ,RIG,Transocean,USD,CH,Deep Sea Mining,Energy
RIOl_EQ,RIO,Rio Tinto,GBX,GB,Base Metals,Metals & Mining
RRl_EQ,RR,Rolls-Royce,GBX,US,Nuclear,Energy
SAFp_EQ,SAF,Safran,EUR,FR,Defence,Defence
SAUSm_EQ,SAUS,iShares MSCI Australia,EUR,AU,Broad,ETF
